timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-06-15T08:47:54,yolo,4ff392cb-a25f-4c6e-aa98-a63d9eb06441,4037.063562631607,0.0984575878795976,0.0243884165686548,0.0,62.642,94.24377965927124,0.0142073754847801,0.2072500411692593,0.1056442042084113,0.3271016208624507,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T09:55:01,yolo,255cfff9-0b0c-4ce8-a9ca-1cfd3313650c,4022.681099176407,0.0948366988823446,0.0235754951844831,0.0,62.435,94.24377965927124,0.0017716704356685,0.208033702939887,0.1052667159345598,0.3150720893101151,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T09:55:21,yolo,428ba8ba-a3f8-4c33-ac68-87cea2877069,15.743645906448364,0.0003971120887869,0.0252236420424237,59.09741708471,154.156,94.24377965927124,0.0002727426856939,0.0006346726566141,0.0004118939227646,0.0013193092650728,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T10:02:43,yolo,074af989-99e1-4c52-b618-4b313ea61092,413.6165628433228,0.0118466633183154,0.0286416560228583,60.24570170228198,62.825,94.24377965927124,0.0068833973303245,0.0216504762006108,0.0108238119119729,0.0393576854429084,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T10:09:40,yolo,d613c292-f6ff-46ac-97c2-f2ead276ab19,412.0866894721985,0.0094550472005367,0.022944315946353,0.0,62.63,94.24377965927124,0.0,0.0206284156427302,0.0107837013025746,0.0314121169453049,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T10:16:36,yolo,65fcc147-15b3-4ec3-9121-84cd363e875c,412.4404101371765,0.0118435324598135,0.0287157421259338,60.53646025379104,62.739,94.24377965927124,0.0068769519473904,0.021677798783126,0.0107925331891298,0.0393472839196464,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T10:23:33,yolo,158ead92-8800-4048-9a54-8ef54d5c931e,412.3044466972351,0.0108261781610807,0.0262577283553544,0.0,62.825,94.24377965927124,0.004245603585369,0.0209325059584188,0.0107892597621281,0.035967369305916,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T10:30:33,yolo,1e2ffe29-2598-4b46-9939-eed3c8b2ed2e,415.85825634002686,0.0115640473349957,0.0278076656136903,60.485584577758566,62.824000000000005,94.24377965927124,0.0069252627515946,0.0206112377628,0.0108822613958902,0.0384187619102849,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T10:37:32,yolo,f97b97b3-ff99-498b-88d1-55be612bd5d7,414.6891465187073,0.0115399121065359,0.02782786143166,60.58529451887402,62.446,94.24377965927124,0.0068914557901046,0.0205952531439067,0.0108518694930183,0.0383385784270297,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T10:44:35,yolo,0d768a4e-fced-45ac-8625-b941a2e45133,418.3970148563385,0.0099418353774874,0.0237617263615064,0.0,62.447,94.24377965927124,0.0015029362670702,0.0205778140345752,0.010948603111934,0.0330293534135795,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
